m49,area,item_code,item,year,usd_tonne
400,Jordan,568,Cantaloupes and other melons,2024,385.8
404,Kenya,372,Lettuce and chicory,2024,235.4
404,Kenya,388,Tomatoes,2024,303.6
404,Kenya,397,Cucumbers and gherkins,2024,189.3
404,Kenya,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,371.5
404,Kenya,430,Okra,2024,309.9
404,Kenya,544,Strawberries,2024,1479.8
410,Republic of Korea,372,Lettuce and chicory,2010,2544.1
410,Republic of Korea,388,Tomatoes,2010,1321.1
410,Republic of Korea,397,Cucumbers and gherkins,2010,907.8
410,Republic of Korea,399,Eggplants (aubergines),2010,682.3
410,Republic of Korea,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2010,9777.3
410,Republic of Korea,544,Strawberries,2010,4013.2
410,Republic of Korea,568,Cantaloupes and other melons,2005,386.5
414,Kuwait,372,Lettuce and chicory,2024,489.1
414,Kuwait,388,Tomatoes,2024,489.1
414,Kuwait,397,Cucumbers and gherkins,2024,619.5
414,Kuwait,399,Eggplants (aubergines),2024,163.0
414,Kuwait,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,456.5
414,Kuwait,430,Okra,2024,652.1
414,Kuwait,544,Strawberries,2024,2585.7
414,Kuwait,568,Cantaloupes and other melons,2024,316.3
417,Kyrgyzstan,388,Tomatoes,2024,975.3
417,Kyrgyzstan,397,Cucumbers and gherkins,2024,1503.0
418,Lao People's Democratic Republic,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2012,562.0
418,Lao People's Democratic Republic,568,Cantaloupes and other melons,2013,515.0
422,Lebanon,372,Lettuce and chicory,2019,590.0
422,Lebanon,388,Tomatoes,2019,784.1
422,Lebanon,397,Cucumbers and gherkins,2019,2688.9
422,Lebanon,399,Eggplants (aubergines),2019,745.9
422,Lebanon,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,979.8
422,Lebanon,430,Okra,2019,2121.7
422,Lebanon,544,Strawberries,2019,1880.6
422,Lebanon,568,Cantaloupes and other melons,2019,711.8
428,Latvia,372,Lettuce and chicory,2024,4800.2
428,Latvia,388,Tomatoes,2024,2333.2
428,Latvia,397,Cucumbers and gherkins,2024,2393.5
428,Latvia,544,Strawberries,2024,5844.4
440,Lithuania,372,Lettuce and chicory,2024,3245.5
440,Lithuania,388,Tomatoes,2024,2059.8
440,Lithuania,397,Cucumbers and gherkins,2024,2047.8
440,Lithuania,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2009,985.1
440,Lithuania,544,Strawberries,2024,6382.9
442,Luxembourg,372,Lettuce and chicory,2024,1974.3
442,Luxembourg,388,Tomatoes,2024,4705.9
442,Luxembourg,544,Strawberries,2024,5517.3
450,Madagascar,388,Tomatoes,2011,296.3
450,Madagascar,397,Cucumbers and gherkins,2011,222.2
454,Malawi,388,Tomatoes,2017,495.9
454,Malawi,397,Cucumbers and gherkins,2017,309.8
454,Malawi,399,Eggplants (aubergines),2017,333.4
454,Malawi,430,Okra,2017,367.5
458,Malaysia,372,Lettuce and chicory,2022,1817.7
458,Malaysia,388,Tomatoes,2022,761.2
458,Malaysia,397,Cucumbers and gherkins,2022,352.2
458,Malaysia,399,Eggplants (aubergines),2022,795.3
458,Malaysia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,1920.0
458,Malaysia,430,Okra,2022,931.6
462,Maldives,372,Lettuce and chicory,2016,1952.1
462,Maldives,388,Tomatoes,2015,2277.7
462,Maldives,397,Cucumbers and gherkins,2019,1696.8
462,Maldives,399,Eggplants (aubergines),2019,1885.3
462,Maldives,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,16067.4
462,Maldives,568,Cantaloupes and other melons,2019,1410.7
466,Mali,372,Lettuce and chicory,2024,862.4
466,Mali,388,Tomatoes,2024,814.8
466,Mali,397,Cucumbers and gherkins,2024,444.0
466,Mali,399,Eggplants (aubergines),2024,494.3
466,Mali,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2018,177.2
466,Mali,430,Okra,2024,854.0
470,Malta,372,Lettuce and chicory,2024,416.7
470,Malta,388,Tomatoes,2024,1326.3
470,Malta,397,Cucumbers and gherkins,2024,1843.3
470,Malta,399,Eggplants (aubergines),2024,770.5
470,Malta,544,Strawberries,2024,2626.2
470,Malta,568,Cantaloupes and other melons,2024,753.7
480,Mauritius,372,Lettuce and chicory,2024,3291.2
480,Mauritius,388,Tomatoes,2024,1847.3
480,Mauritius,397,Cucumbers and gherkins,2024,1882.6
480,Mauritius,399,Eggplants (aubergines),2024,1382.1
480,Mauritius,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,6244.4
480,Mauritius,430,Okra,2024,4299.8
484,Mexico,372,Lettuce and chicory,2024,303.4
484,Mexico,388,Tomatoes,2024,549.7
484,Mexico,397,Cucumbers and gherkins,2024,439.0
484,Mexico,399,Eggplants (aubergines),2024,592.1
484,Mexico,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,627.2
484,Mexico,430,Okra,2024,516.0
484,Mexico,544,Strawberries,2024,1349.7
484,Mexico,568,Cantaloupes and other melons,2024,372.8
496,Mongolia,397,Cucumbers and gherkins,2024,1952.1
498,Republic of Moldova,388,Tomatoes,2024,318.3
498,Republic of Moldova,397,Cucumbers and gherkins,2024,505.4
498,Republic of Moldova,399,Eggplants (aubergines),2024,417.2
498,Republic of Moldova,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,561.7
498,Republic of Moldova,544,Strawberries,2024,1344.9
498,Republic of Moldova,568,Cantaloupes and other melons,2024,336.1
504,Morocco,388,Tomatoes,2024,205.8
504,Morocco,397,Cucumbers and gherkins,2024,403.4
504,Morocco,399,Eggplants (aubergines),2024,300.7
504,Morocco,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,481.8
504,Morocco,544,Strawberries,2023,709.4
504,Morocco,568,Cantaloupes and other melons,2024,396.2
508,Mozambique,388,Tomatoes,2023,1220.9
512,Oman,388,Tomatoes,2023,341.5
512,Oman,397,Cucumbers and gherkins,2023,420.5
512,Oman,399,Eggplants (aubergines),2023,436.9
512,Oman,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,927.2
