m49,area,item_code,item,year,usd_tonne
562,Niger,397,Cucumbers and gherkins,2022,590.0
562,Niger,399,Eggplants (aubergines),2022,285.4
562,Niger,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,666.9
562,Niger,568,Cantaloupes and other melons,2022,865.7
566,Nigeria,388,Tomatoes,2013,1126.5
566,Nigeria,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2013,1076.5
566,Nigeria,430,Okra,2013,1138.1
578,Norway,372,Lettuce and chicory,2024,3937.2
578,Norway,388,Tomatoes,2024,3631.2
578,Norway,397,Cucumbers and gherkins,2024,2648.2
578,Norway,544,Strawberries,2024,6771.0
586,Pakistan,388,Tomatoes,2024,379.1
586,Pakistan,397,Cucumbers and gherkins,2024,260.9
586,Pakistan,399,Eggplants (aubergines),2024,214.4
586,Pakistan,568,Cantaloupes and other melons,2022,355.6
591,Panama,372,Lettuce and chicory,2023,1080.3
591,Panama,388,Tomatoes,2023,1300.7
591,Panama,397,Cucumbers and gherkins,2023,683.4
591,Panama,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,1366.9
600,Paraguay,388,Tomatoes,2024,959.2
600,Paraguay,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1176.3
600,Paraguay,544,Strawberries,2024,2761.2
600,Paraguay,568,Cantaloupes and other melons,2024,310.2
604,Peru,372,Lettuce and chicory,2024,457.9
604,Peru,388,Tomatoes,2024,375.4
604,Peru,397,Cucumbers and gherkins,2024,282.2
604,Peru,399,Eggplants (aubergines),2024,378.0
604,Peru,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1101.1
604,Peru,544,Strawberries,2024,859.9
604,Peru,568,Cantaloupes and other melons,2024,287.5
608,Philippines,372,Lettuce and chicory,2024,2284.3
608,Philippines,388,Tomatoes,2024,745.9
608,Philippines,397,Cucumbers and gherkins,2024,587.1
608,Philippines,399,Eggplants (aubergines),2024,720.7
608,Philippines,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1880.2
608,Philippines,430,Okra,2024,624.3
608,Philippines,544,Strawberries,2024,6822.2
608,Philippines,568,Cantaloupes and other melons,2006,292.3
616,Poland,388,Tomatoes,2024,541.6
616,Poland,397,Cucumbers and gherkins,2024,826.5
616,Poland,544,Strawberries,2024,1282.2
620,Portugal,372,Lettuce and chicory,2024,740.7
620,Portugal,388,Tomatoes,2024,943.6
620,Portugal,397,Cucumbers and gherkins,2024,936.2
620,Portugal,399,Eggplants (aubergines),2024,730.3
620,Portugal,544,Strawberries,2024,3760.8
620,Portugal,568,Cantaloupes and other melons,2024,1211.1
626,Timor-Leste,388,Tomatoes,2021,855.3
626,Timor-Leste,397,Cucumbers and gherkins,2021,390.2
630,Puerto Rico,372,Lettuce and chicory,2015,2943.3
630,Puerto Rico,388,Tomatoes,2015,1066.7
630,Puerto Rico,397,Cucumbers and gherkins,2015,673.1
630,Puerto Rico,399,Eggplants (aubergines),2015,959.5
630,Puerto Rico,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2015,1869.8
630,Puerto Rico,430,Okra,2015,1952.3
630,Puerto Rico,568,Cantaloupes and other melons,2015,980.0
634,Qatar,372,Lettuce and chicory,2023,961.5
634,Qatar,388,Tomatoes,2023,549.5
634,Qatar,397,Cucumbers and gherkins,2023,769.2
634,Qatar,399,Eggplants (aubergines),2023,576.9
634,Qatar,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,851.6
634,Qatar,430,Okra,2023,1703.3
634,Qatar,568,Cantaloupes and other melons,2023,357.1
642,Romania,372,Lettuce and chicory,2024,1763.7
642,Romania,388,Tomatoes,2024,1391.8
642,Romania,397,Cucumbers and gherkins,2024,1287.4
642,Romania,399,Eggplants (aubergines),2024,869.9
642,Romania,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1304.1
642,Romania,544,Strawberries,2024,2148.6
642,Romania,568,Cantaloupes and other melons,2024,841.6
643,Russian Federation,388,Tomatoes,2022,1582.5
643,Russian Federation,397,Cucumbers and gherkins,2022,1317.0
643,Russian Federation,544,Strawberries,2008,2010.6
643,Russian Federation,568,Cantaloupes and other melons,2007,121.2
646,Rwanda,372,Lettuce and chicory,2024,1169.9
646,Rwanda,388,Tomatoes,2024,661.6
646,Rwanda,397,Cucumbers and gherkins,2024,826.7
646,Rwanda,399,Eggplants (aubergines),2024,439.7
646,Rwanda,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,867.3
659,Saint Kitts and Nevis,388,Tomatoes,2023,2449.6
659,Saint Kitts and Nevis,397,Cucumbers and gherkins,2023,1224.8
659,Saint Kitts and Nevis,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,2449.6
662,Saint Lucia,372,Lettuce and chicory,2024,1169.3
662,Saint Lucia,388,Tomatoes,2024,4361.1
662,Saint Lucia,397,Cucumbers and gherkins,2024,1708.5
662,Saint Lucia,399,Eggplants (aubergines),2024,2074.8
662,Saint Lucia,568,Cantaloupes and other melons,2024,2209.3
670,Saint Vincent and the Grenadines,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,2477.4
682,Saudi Arabia,388,Tomatoes,2023,1240.5
682,Saudi Arabia,397,Cucumbers and gherkins,2023,1141.4
682,Saudi Arabia,399,Eggplants (aubergines),2023,1087.2
682,Saudi Arabia,430,Okra,2023,3672.1
682,Saudi Arabia,568,Cantaloupes and other melons,2023,985.4
686,Senegal,388,Tomatoes,2023,683.8
688,Serbia,388,Tomatoes,2024,892.1
688,Serbia,397,Cucumbers and gherkins,2024,738.6
688,Serbia,544,Strawberries,2024,1304.0
690,Seychelles,372,Lettuce and chicory,2014,2921.5
690,Seychelles,388,Tomatoes,2014,3277.6
690,Seychelles,397,Cucumbers and gherkins,2014,2290.7
690,Seychelles,399,Eggplants (aubergines),2014,2641.4
690,Seychelles,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2014,8585.5
694,Sierra Leone,388,Tomatoes,2016,901.7
702,Singapore,372,Lettuce and chicory,2024,2867.6
702,Singapore,388,Tomatoes,2024,20878.8
703,Slovakia,372,Lettuce and chicory,2024,1243.7
703,Slovakia,388,Tomatoes,2024,2355.8
703,Slovakia,397,Cucumbers and gherkins,2024,1405.7
703,Slovakia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1271.8
703,Slovakia,544,Strawberries,2024,3509.4
703,Slovakia,568,Cantaloupes and other melons,2008,261.9
705,Slovenia,372,Lettuce and chicory,2024,1682.1
705,Slovenia,388,Tomatoes,2024,2913.0
705,Slovenia,397,Cucumbers and gherkins,2024,771.8
705,Slovenia,544,Strawberries,2024,6054.5
710,South Africa,372,Lettuce and chicory,2024,623.7
710,South Africa,388,Tomatoes,2024,609.6
710,South Africa,397,Cucumbers and gherkins,2024,761.3
710,South Africa,399,Eggplants (aubergines),2023,635.2
710,South Africa,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,816.8
710,South Africa,544,Strawberries,2024,2597.3
710,South Africa,568,Cantaloupes and other melons,2023,445.3
716,Zimbabwe,372,Lettuce and chicory,2017,815.0
716,Zimbabwe,388,Tomatoes,2017,786.0
716,Zimbabwe,397,Cucumbers and gherkins,2017,730.0
716,Zimbabwe,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2017,1910.0
716,Zimbabwe,568,Cantaloupes and other melons,2017,1168.0
724,Spain,372,Lettuce and chicory,2024,339.9
724,Spain,388,Tomatoes,2024,363.7
724,Spain,397,Cucumbers and gherkins,2024,936.0
724,Spain,399,Eggplants (aubergines),2024,799.1
724,Spain,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1159.2
724,Spain,544,Strawberries,2024,2075.0
724,Spain,568,Cantaloupes and other melons,2024,514.6
729,Sudan,388,Tomatoes,2013,1967.6
729,Sudan,399,Eggplants (aubergines),2013,1063.6
729,Sudan,430,Okra,2013,1737.2
736,Sudan (former),388,Tomatoes,2011,2247.2
736,Sudan (former),397,Cucumbers and gherkins,2010,867.3
736,Sudan (former),399,Eggplants (aubergines),2010,1734.6
736,Sudan (former),401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2011,1123.6
736,Sudan (former),430,Okra,2011,2247.2
736,Sudan (former),568,Cantaloupes and other melons,2002,189.9
740,Suriname,388,Tomatoes,2021,1644.3
740,Suriname,397,Cucumbers and gherkins,2021,302.9
740,Suriname,399,Eggplants (aubergines),2019,874.2
740,Suriname,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,1104.9
740,Suriname,430,Okra,2019,835.3
752,Sweden,372,Lettuce and chicory,1997,654.1
752,Sweden,388,Tomatoes,2024,1443.7
752,Sweden,397,Cucumbers and gherkins,2024,1666.8
752,Sweden,544,Strawberries,2024,4639.8
756,Switzerland,372,Lettuce and chicory,2024,3363.1
756,Switzerland,388,Tomatoes,2024,3865.1
756,Switzerland,397,Cucumbers and gherkins,2024,2428.3
756,Switzerland,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,3949.2
756,Switzerland,544,Strawberries,2024,8450.3
756,Switzerland,568,Cantaloupes and other melons,2024,3606.1
762,Tajikistan,388,Tomatoes,2012,316.6
762,Tajikistan,397,Cucumbers and gherkins,2019,174.7
762,Tajikistan,399,Eggplants (aubergines),2019,140.9
762,Tajikistan,544,Strawberries,2019,675.7
762,Tajikistan,568,Cantaloupes and other melons,2012,1266.4
764,Thailand,372,Lettuce and chicory,2023,719.8
764,Thailand,388,Tomatoes,2022,641.2
764,Thailand,397,Cucumbers and gherkins,2023,459.7
764,Thailand,399,Eggplants (aubergines),2023,478.7
764,Thailand,544,Strawberries,2023,4286.2
768,Togo,388,Tomatoes,2019,674.2
768,Togo,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,1519.0
776,Tonga,388,Tomatoes,2024,5206.8
780,Trinidad and Tobago,372,Lettuce and chicory,2024,6063.6
780,Trinidad and Tobago,388,Tomatoes,2024,2420.7
780,Trinidad and Tobago,397,Cucumbers and gherkins,2024,1998.5
780,Trinidad and Tobago,399,Eggplants (aubergines),2024,2383.7
780,Trinidad and Tobago,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,7035.4
780,Trinidad and Tobago,430,Okra,2024,3462.2
788,Tunisia,372,Lettuce and chicory,2022,316.1
788,Tunisia,388,Tomatoes,2022,122.1
788,Tunisia,397,Cucumbers and gherkins,2022,422.1
788,Tunisia,399,Eggplants (aubergines),2016,269.1
788,Tunisia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2022,371.8
788,Tunisia,544,Strawberries,2022,945.0
788,Tunisia,568,Cantaloupes and other melons,2022,445.9
792,TÃ¼rkiye,372,Lettuce and chicory,2024,640.6
792,TÃ¼rkiye,388,Tomatoes,2024,394.7
792,TÃ¼rkiye,397,Cucumbers and gherkins,2024,563.0
792,TÃ¼rkiye,399,Eggplants (aubergines),2024,502.8
792,TÃ¼rkiye,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,648.0
792,TÃ¼rkiye,430,Okra,2024,2759.3
792,TÃ¼rkiye,544,Strawberries,2024,1460.5
792,TÃ¼rkiye,568,Cantaloupes and other melons,2024,289.9
795,Turkmenistan,388,Tomatoes,2002,548.1
795,Turkmenistan,397,Cucumbers and gherkins,2002,557.1
804,Ukraine,388,Tomatoes,2023,220.1
804,Ukraine,397,Cucumbers and gherkins,2023,1319.6
804,Ukraine,399,Eggplants (aubergines),2023,441.2
804,Ukraine,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,873.0
804,Ukraine,544,Strawberries,2023,1213.5
804,Ukraine,568,Cantaloupes and other melons,2023,886.8
807,North Macedonia,388,Tomatoes,2024,977.8
807,North Macedonia,397,Cucumbers and gherkins,2024,677.3
807,North Macedonia,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,928.7
807,North Macedonia,544,Strawberries,2023,898.2
818,Egypt,372,Lettuce and chicory,2023,159.2
818,Egypt,388,Tomatoes,2023,214.7
818,Egypt,397,Cucumbers and gherkins,2023,254.2
818,Egypt,399,Eggplants (aubergines),2023,210.9
818,Egypt,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2023,329.2
818,Egypt,430,Okra,2023,506.0
818,Egypt,544,Strawberries,2023,374.8
818,Egypt,568,Cantaloupes and other melons,2023,236.0
826,United Kingdom of Great Britain and Northern Ireland,372,Lettuce and chicory,2024,837.8
826,United Kingdom of Great Britain and Northern Ireland,388,Tomatoes,2024,1421.2
826,United Kingdom of Great Britain and Northern Ireland,397,Cucumbers and gherkins,2024,1524.0
826,United Kingdom of Great Britain and Northern Ireland,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1980.8
826,United Kingdom of Great Britain and Northern Ireland,544,Strawberries,2024,5322.9
834,United Republic of Tanzania,388,Tomatoes,2016,289.7
840,United States of America,372,Lettuce and chicory,2024,881.8
840,United States of America,388,Tomatoes,2024,1243.4
840,United States of America,397,Cucumbers and gherkins,2024,848.8
840,United States of America,399,Eggplants (aubergines),2004,610.0
840,United States of America,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,901.7
840,United States of America,430,Okra,1997,1642.0
840,United States of America,544,Strawberries,2024,3152.6
840,United States of America,568,Cantaloupes and other melons,2024,626.1
854,Burkina Faso,388,Tomatoes,2007,166.6
854,Burkina Faso,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2007,317.2
854,Burkina Faso,430,Okra,2007,199.8
858,Uruguay,388,Tomatoes,2022,1498.6
858,Uruguay,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2019,1361.5
858,Uruguay,568,Cantaloupes and other melons,2019,964.4
860,Uzbekistan,388,Tomatoes,2024,732.2
860,Uzbekistan,397,Cucumbers and gherkins,2024,1253.8
860,Uzbekistan,399,Eggplants (aubergines),2024,705.0
860,Uzbekistan,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,419.2
860,Uzbekistan,544,Strawberries,2024,489.5
862,Venezuela (Bolivarian Republic of),372,Lettuce and chicory,2014,2689.3
862,Venezuela (Bolivarian Republic of),388,Tomatoes,2014,4543.1
862,Venezuela (Bolivarian Republic of),397,Cucumbers and gherkins,2014,1678.8
862,Venezuela (Bolivarian Republic of),399,Eggplants (aubergines),2014,1982.8
862,Venezuela (Bolivarian Republic of),401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2014,4654.5
862,Venezuela (Bolivarian Republic of),544,Strawberries,2014,6650.0
862,Venezuela (Bolivarian Republic of),568,Cantaloupes and other melons,2014,2350.3
887,Yemen,388,Tomatoes,2024,802.5
887,Yemen,397,Cucumbers and gherkins,2024,985.5
887,Yemen,399,Eggplants (aubergines),2018,997.3
887,Yemen,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2024,1372.1
887,Yemen,430,Okra,2024,1663.6
887,Yemen,568,Cantaloupes and other melons,2018,664.8
891,Serbia and Montenegro,388,Tomatoes,2005,343.2
891,Serbia and Montenegro,397,Cucumbers and gherkins,2005,279.2
891,Serbia and Montenegro,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2003,237.8
891,Serbia and Montenegro,544,Strawberries,2005,589.0
894,Zambia,388,Tomatoes,2024,506.1
